baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SC_00010_gene SC_chr	10.5338066951	-0.853811670147452	1.0232091190432	-0.834444938240822	0.404030303008928	NA
SC_00019_gene SC_chr	0.666915837894416	-2.78188054983375	3.71097966221406	-0.749635083737972	0.45347451471927	NA
SC_00020_gene SC_chr	1.34556287444849	-0.581030456790148	2.66639766365656	-0.217908403052436	0.827500479781712	NA
SC_00021_gene SC_chr	1.27115428312719	-0.462177739601405	2.53543639850528	-0.182287254325872	0.85535730068444	NA
SC_00022_gene SC_chr	0.543822013691331	-2.4596709300661	4.42288102923727	-0.556124144829251	0.578125990346449	NA
SC_00027_gene SC_chr	0.529829853911488	2.63506482553037	4.093917094229	0.643653685426336	0.519800029194803	NA
SC_00032_gene SC_chr	5.92060269597671	-0.253598760650566	1.27751154501823	-0.198509956046579	0.842646095952123	NA
SC_00033_gene SC_chr	4.07364265756759	-1.50677382905976	1.53685361561812	-0.980427682732643	0.326875050582557	NA
SC_00038_gene SC_chr	0.864418253418791	-3.16087165320134	3.3595594032698	-0.940858985891103	0.346777128121498	NA
SC_00044_gene SC_chr	1.6254698166918	0.0310613400257543	2.44212360144748	0.0127189876906082	0.989851989705109	NA
SC_00074_gene SC_chr	3.03615816520854	1.81288150922958	1.76915123950437	1.02471822009828	0.305496163422187	NA
SC_00077_gene SC_chr	0.469413422370041	-2.26590906134613	4.28909674121972	-0.528295162841619	0.597294488420541	NA
SC_00081_gene SC_chr	0.39500483104875	-2.0450108052717	4.90988225288314	-0.416509134016573	0.677037484983578	NA
SC_00084_gene SC_chr	0.719336334038216	-0.841009443167153	3.43906123430653	-0.24454622522496	0.806807805886866	NA
SC_00086_gene SC_chr	0.39500483104875	-2.0450108052717	4.90988225288314	-0.416509134016573	0.677037484983578	NA
SC_00087_gene SC_chr	67.758398435847	-0.33322808803074	0.607791104923147	-0.548260883273169	0.583512782429778	0.847961925205835
SC_00088_gene SC_chr	260.779179233625	0.291183453020585	0.45260554709006	0.643349280389276	0.519997486175072	0.818857251361101
SC_00089_gene SC_chr	2.12202874715732	1.30939071334058	2.18989974078141	0.597922676073453	0.549891528516501	NA
SC_00091_gene SC_chr	0.39500483104875	-2.0450108052717	4.90988225288314	-0.416509134016573	0.677037484983578	NA
SC_00092_gene SC_chr	48.882438683609	0.365265453571489	0.606895046749796	0.601859342117974	0.547267770083856	0.830339608256131
SC_00093_gene SC_chr	64.5524082439117	-0.448572833945627	0.561191153594971	-0.799322710402837	0.424103313616251	0.779219244337749
SC_00094_gene SC_chr	2.43791594435796	-0.433652053398387	1.88606998003289	-0.229923628491677	0.818151115265319	NA
SC_00095_gene SC_chr	120.047421570474	1.47853654061341	0.508521855117246	2.90751818380062	0.00364309163298863	0.0528546900851629
SC_00096_gene SC_chr	1.46492143538956	-2.1571767977525	2.87169292368819	-0.751186444747713	0.452540456899887	NA
SC_00097_gene SC_chr	28.1359990944959	1.39695073052326	0.707340413553169	1.97493413886248	0.0482756226029293	0.277428090932418
SC_00099_gene SC_chr	0.741324429215706	-2.91697392394968	3.5737978375975	-0.816211228643707	0.414379335792544	NA
SC_00100_gene SC_chr	5.19450545591039	-4.21444817791734	1.92443308938383	-2.18996867241912	0.0285265088925386	NA
SC_00101_gene SC_chr	4.64190084784304	0.0589155111414436	1.3896981814142	0.0423944651647232	0.966184240543055	NA
SC_00102_gene SC_chr	4.38398200077722	-0.463113059790877	1.4332875585113	-0.323112453632051	0.746610079072973	NA
SC_00103_gene SC_chr	2.45616877627344	-1.87975335118434	1.99928927964658	-0.940210789064318	0.347109448700797	NA
SC_00104_gene SC_chr	1.70684841166009	-2.49737583379001	2.56339060197186	-0.974247089721295	0.329933868733462	NA
SC_00105_gene SC_chr	1.25942308446754	-3.70839022766978	2.94267648685882	-1.26020996335494	0.20759362959215	NA
SC_00106_gene SC_chr	5.79222226788734	-1.09750228559431	1.29099181972301	-0.850123346118327	0.395256513127053	NA
SC_00107_gene SC_chr	4.22019887908999	0.0489851590045212	1.55650664527965	0.0314712173912502	0.974893745964926	NA
SC_00108_gene SC_chr	2.23396893406022	0.630373861996199	1.99916168100432	0.315319099993712	0.752519384451527	NA
SC_00109_gene SC_chr	13.612973048231	0.283372858983865	0.933595271944177	0.303528592634956	0.761487060821073	0.915646805470992
SC_00110_gene SC_chr	0.469413422370041	-2.26590906134613	4.28909674121972	-0.528295162841619	0.597294488420541	NA
SC_00111_gene SC_chr	3.87614024204322	-1.40600193220761	1.56559659939271	-0.898061437252096	0.369152796436218	NA
SC_00112_gene SC_chr	1.00723921167918	1.85176678185877	3.0236436881951	0.612428901291653	0.54025402498181	NA
SC_00113_gene SC_chr	24.3026028816063	1.76078447356574	0.761825182611308	2.31127102878156	0.0208178892077674	0.172868331259162
SC_00114_gene SC_chr	1.05965970782298	3.635087726483	3.10690889642112	1.17000138969968	0.2420004095897	NA
SC_00115_gene SC_chr	0.529829853911488	2.63506482553037	4.093917094229	0.643653685426336	0.519800029194803	NA
SC_00116_gene SC_chr	0.666915837894416	-2.78188054983375	3.71097966221406	-0.749635083737972	0.45347451471927	NA
SC_00117_gene SC_chr	1.24117025255206	-0.525187013909883	2.70941093765046	-0.193838079935306	0.846302668982003	NA
SC_00118_gene SC_chr	33.6503552176522	-0.455671635404115	0.682776220683017	-0.667380646250806	0.50452902496976	0.814762630828271
SC_00119_gene SC_chr	4.02921809682144	-1.45070589483455	1.56544077325715	-0.92670762102109	0.354078359578253	NA
SC_00120_gene SC_chr	38.6362074889061	-1.08614983029434	0.660981662136422	-1.64323746408287	0.100333811336914	0.422835347776993
SC_00121_gene SC_chr	0.477409357767688	0.305386883735129	4.36591760395391	0.0699479265157366	0.944235106674055	NA
SC_00124_gene SC_chr	16.5030424714727	-0.874527906073482	0.863054842360289	-1.01329355117436	0.310919966892832	0.684588755398343
SC_00125_gene SC_chr	3.90657264300953	-0.576208072121504	1.52182889572546	-0.378628684039294	0.704963618579776	NA
SC_00126_gene SC_chr	19.816004897676	-0.786261610010136	0.801542094379327	-0.980936142373129	0.326624232982306	0.693661257620487
SC_00127_gene SC_chr	8.22671926023803	0.741293024576554	1.12861190643125	0.656818362762605	0.511297715556027	NA
SC_00129_gene SC_chr	1.23743498929005	-1.94834472267984	3.03157196533855	-0.642684635217707	0.520428752815549	NA
SC_00130_gene SC_chr	31.8023692474924	-0.780630968880982	0.691949459727365	-1.12816183018419	0.259251580667044	0.631671326177759
SC_00131_gene SC_chr	93.8290743092901	0.00349747911110946	0.516268634209767	0.00677453341023306	0.994594745730426	0.997622432456501
SC_00132_gene SC_chr	3.20122846875116	-1.61291647050908	1.74390971998678	-0.924885303421158	0.35502557207688	NA
SC_00133_gene SC_chr	2.7500678782966	-3.20762247734438	2.1958849119008	-1.46074252797147	0.14408611327813	NA
SC_00134_gene SC_chr	0.954818715535375	0.437032547570147	3.23955753334875	0.134905011894752	0.892686976860244	NA
SC_00135_gene SC_chr	2.7102753215948	0.340763529082679	1.96587156622601	0.173339670269946	0.862384443257332	NA
SC_00136_gene SC_chr	60.3713861823314	0.60486797388247	0.560478984974042	1.07919831090631	0.280499332495784	0.651553567608317
SC_00137_gene SC_chr	1.46492143538956	-2.1571767977525	2.87169292368819	-0.751186444747713	0.452540456899887	NA
SC_00138_gene SC_chr	26.044028507732	0.2445368845141	0.725925057452167	0.336862437800906	0.736220602320231	0.907994766476345
SC_00139_gene SC_chr	0.469413422370041	-2.26590906134613	4.28909674121972	-0.528295162841619	0.597294488420541	NA
SC_00140_gene SC_chr	161.367131186489	-1.16545422520514	0.524669251011738	-2.22131223234019	0.0263298209265438	0.197473656949079
SC_00141_gene SC_chr	8.63592534868552	-1.87619574983639	1.17974855305112	-1.59033528372134	0.111759249409955	NA
SC_00142_gene SC_chr	1.40824026711012	-3.85110302772295	2.79395848346531	-1.37836802175617	0.168089691366666	NA
SC_00143_gene SC_chr	3.06840315690387	-0.390800717217578	1.6992415701349	-0.229985379410506	0.818103130768995	NA
SC_00144_gene SC_chr	18.9981401069871	-0.389799214953795	0.787005926438287	-0.495293875000268	0.620392693833182	0.8687460981683
SC_00145_gene SC_chr	4.90060635388723	-3.06364055833711	1.67495129272766	-1.82909232742402	0.0673857781786986	NA
SC_00146_gene SC_chr	1.06192066894317	-3.46053973739722	3.11903052138735	-1.10949210457164	0.267217948611218	NA
SC_00147_gene SC_chr	3.48113541099447	-1.18014640582706	1.63785515859393	-0.720543815876978	0.471190232310744	NA
SC_00148_gene SC_chr	1.96805415159675	-1.35421817831184	2.24305433677013	-0.603738463269614	0.546017537638697	NA
SC_00149_gene SC_chr	12.9590425475301	-1.94062296321409	1.00100974581662	-1.93866540393264	0.0525420938944857	NA
SC_00150_gene SC_chr	8.0926038578712	-0.815299122284495	1.11310419240934	-0.732455351299825	0.463890685049984	NA
SC_00151_gene SC_chr	0.469413422370041	-2.26590906134613	4.28909674121972	-0.528295162841619	0.597294488420541	NA
SC_00152_gene SC_chr	4.92677808271791	-1.95190050580591	1.56033128213115	-1.25095262022816	0.210951764066491	NA
SC_00153_gene SC_chr	12.0399758801689	0.764095949779963	1.01263035317139	0.754565520761785	0.450509718192612	NA
SC_00154_gene SC_chr	7.68334561693787	1.43519285809911	1.15433850494435	1.24330328751209	0.21375609322714	NA
SC_00155_gene SC_chr	0.521833918513841	0.0186745041851126	4.22821172933316	0.00441664357902385	0.996476039734561	NA
SC_00157_gene SC_chr	1.59175052285465	-1.02548765561811	2.32630272866768	-0.440822960391499	0.659341169960986	NA
SC_00158_gene SC_chr	1.11434116508697	-1.74030673616466	2.92038042109065	-0.59591782070458	0.551230127551814	NA
SC_00159_gene SC_chr	0.469413422370041	-2.26590906134613	4.28909674121972	-0.528295162841619	0.597294488420541	NA
SC_00160_gene SC_chr	2.78849621466056	-0.723714438518985	1.77956745872101	-0.406679968760008	0.684243054558384	NA
SC_00161_gene SC_chr	0.499845823336351	2.56058177794738	4.57186145292524	0.560074228913703	0.575428807833578	NA
SC_00162_gene SC_chr	6.41334932469776	0.614830599697253	1.23818108862367	0.496559514069693	0.619499709157117	NA
SC_00163_gene SC_chr	49.511171234744	0.877365424430002	0.596867775253352	1.46994939382946	0.141575460472217	0.489430791085592
SC_00164_gene SC_chr	2.49033644050176	0.109276342081433	1.88353988838286	0.0580164735323199	0.95373550664708	NA
SC_00165_gene SC_chr	1.03993257376568	-1.62917462082687	3.21434885407033	-0.506844370287887	0.612264020981292	NA
SC_00166_gene SC_chr	2.64941051966218	-2.06086836508541	2.02505074119604	-1.01768727230421	0.308826597766725	NA
SC_00167_gene SC_chr	10.0251261249018	-0.155676521220191	1.0017948125484	-0.155397611636835	0.876507866932316	NA
SC_00168_gene SC_chr	3.31832606857205	-0.140560284869603	1.63055564969447	-0.0862039176006908	0.931304316507981	NA
SC_00169_gene SC_chr	28.5074094285929	0.221237790545231	0.709814856455878	0.311683798293369	0.755280842110946	0.911363399328738
SC_00170_gene SC_chr	2.83665603866872	-0.238389301314529	1.84510948918926	-0.129200626147816	0.897198900769309	NA
SC_00171_gene SC_chr	2.45390781515326	0.85286590443992	1.88006890550078	0.453635450245771	0.650091233712392	NA
SC_00172_gene SC_chr	1.46865669865157	-0.819477916841911	2.37611012886105	-0.34488212767929	0.730182987268675	NA
SC_00175_gene SC_chr	7.35372751006212	0.634163120412439	1.15060530433065	0.551156089777766	0.581526678027222	NA
SC_00179_gene SC_chr	1.21873378698339	-1.78929374227186	2.81994985510903	-0.634512609871453	0.525746340074474	NA
SC_00180_gene SC_chr	144.953128353135	-1.13219836614743	0.523499817701586	-2.16274834844895	0.0305605402478694	0.224391805589214
