Orthogroup	PFEIFFER_annot	SC_annot	SIM_annot
OG0000000	lcl|BK010829.1_prot_DAC77377.1_51, lcl|BK010829.1_prot_DAC77384.1_60, lcl|BK010829.1_prot_DAC77602.1_297, lcl|BK010829.1_prot_DAC78635.1_1354, lcl|BK010829.1_prot_DAC79059.1_1782, lcl|BK010830.1_prot_DAC79485.1_17, lcl|BK010830.1_prot_DAC79539.1_80, lcl|BK010830.1_prot_DAC79561.1_104, lcl|BK010830.1_prot_DAC79611.1_162, lcl|BK010830.1_prot_DAC79646.1_205, lcl|BK010831.1_prot_DAC79689.1_16, lcl|BK010831.1_prot_DAC79738.1_74, lcl|BK010831.1_prot_DAC79759.1_97, lcl|BK010831.1_prot_DAC79793.1_138, lcl|BK010831.1_prot_DAC79803.1_153, lcl|BK010831.1_prot_DAC79928.1_300, lcl|BK010831.1_prot_DAC79936.1_316, lcl|BK010831.1_prot_DAC79975.1_360, lcl|BK010831.1_prot_DAC80016.1_404	SC_00603, SC_01933, SC_03556, SC_03991, SC_04147, SC_04363, SC_04443, SC_04532	SC_00486, SC_00727, SC_01121, SC_02603
OG0000001	lcl|BK010829.1_prot_DAC77376.1_50, lcl|BK010829.1_prot_DAC77426.1_112, lcl|BK010829.1_prot_DAC78587.1_1304, lcl|BK010829.1_prot_DAC79467.1_2193, lcl|BK010830.1_prot_243, lcl|BK010830.1_prot_DAC79506.1_42, lcl|BK010830.1_prot_DAC79584.1_131, lcl|BK010830.1_prot_DAC79586.1_134, lcl|BK010830.1_prot_DAC79622.1_174, lcl|BK010830.1_prot_DAC79633.1_189, lcl|BK010831.1_prot_438, lcl|BK010831.1_prot_DAC79709.1_40, lcl|BK010831.1_prot_DAC79781.1_123, lcl|BK010831.1_prot_DAC79784.1_127, lcl|BK010831.1_prot_DAC79796.1_141, lcl|BK010831.1_prot_DAC79799.1_147, lcl|BK010831.1_prot_DAC79925.1_296, lcl|BK010831.1_prot_DAC79935.1_310	SC_00512, SC_00693, SC_04540	SC_00159, SC_00389, SC_00396, SC_00435, SC_00527, SC_01122, SC_01199, SC_02673
OG0000002		SC_00997, SC_02845, SC_03868, SC_03929, SC_03961, SC_03962, SC_04021, SC_04054, SC_04055, SC_04113, SC_04239, SC_04288, SC_04391, SC_04477, SC_04554, SC_04795, SC_04796, SC_04810, SC_04865, SC_04881, SC_04936	
OG0000003	lcl|BK010829.1_prot_DAC77504.1_196, lcl|BK010829.1_prot_DAC78120.1_828, lcl|BK010829.1_prot_DAC78134.1_843, lcl|BK010829.1_prot_DAC78634.1_1353, lcl|BK010830.1_prot_DAC79552.1_94, lcl|BK010830.1_prot_DAC79555.1_98, lcl|BK010830.1_prot_DAC79632.1_187, lcl|BK010830.1_prot_DAC79634.1_192, lcl|BK010831.1_prot_DAC79750.1_87, lcl|BK010831.1_prot_DAC79753.1_91, lcl|BK010831.1_prot_DAC79787.1_131, lcl|BK010831.1_prot_DAC79792.1_137, lcl|BK010831.1_prot_DAC79972.1_357	SC_01945	
OG0000004	lcl|BK010829.1_prot_DAC77505.1_198, lcl|BK010829.1_prot_DAC78586.1_1302, lcl|BK010830.1_prot_DAC79508.1_47, lcl|BK010830.1_prot_DAC79677.1_238, lcl|BK010831.1_prot_DAC79711.1_45, lcl|BK010831.1_prot_DAC79994.1_381, lcl|BK010831.1_prot_DAC80043.1_433	SC_00837, SC_05071	SC_00073, SC_00074, SC_00520, SC_00890, SC_02675
OG0000005	lcl|BK010829.1_prot_DAC79116.1_1840, lcl|BK010830.1_prot_DAC79513.1_53, lcl|BK010830.1_prot_DAC79607.1_156, lcl|BK010830.1_prot_DAC79672.1_232, lcl|BK010831.1_prot_DAC79716.1_51, lcl|BK010831.1_prot_DAC80008.1_396, lcl|BK010831.1_prot_DAC80038.1_427	SC_03674, SC_05040, SC_05078	SC_00067, SC_00460, SC_00514, SC_01813
OG0000006	lcl|BK010830.1_prot_DAC79499.1_33, lcl|BK010831.1_prot_DAC79702.1_31, lcl|BK010831.1_prot_DAC79862.1_225	SC_03971, SC_04041, SC_04383, SC_04465, SC_04660, SC_04661	SC_00043, SC_00044, SC_00284
OG0000007	lcl|BK010830.1_prot_DAC79512.1_52, lcl|BK010830.1_prot_DAC79673.1_233, lcl|BK010831.1_prot_DAC79715.1_50, lcl|BK010831.1_prot_DAC80039.1_428	SC_01569, SC_04071, SC_04330, SC_04407	SC_00478, SC_00515, SC_02900, SC_03767
OG0000008		SC_00601, SC_02762, SC_03959, SC_04190, SC_04197, SC_04341, SC_04393, SC_04549, SC_04788, SC_04807, SC_04931	
OG0000009	lcl|BK010829.1_prot_DAC77346.1_17, lcl|BK010829.1_prot_DAC77380.1_55, lcl|BK010830.1_prot_DAC79544.1_85, lcl|BK010830.1_prot_DAC79641.1_200, lcl|BK010831.1_prot_DAC79743.1_79, lcl|BK010831.1_prot_DAC80011.1_399	SC_04279	SC_00481, SC_01118, SC_01154
